incidentid,age,gender,race,schoolaffiliation,shooteroutcome,shooterdied,injury,chargesfiled,verdict,minorchargedadult,criminalhistory
19771215MABLC,,Male,,Unknown,Fled/Escaped,No,,,,,
19780111KYCHH,16.0,Male,,Student,Subdued by Students/Staff/Other,No,,First degree assault,,No,
19780209WVHAS,15.0,Male,White,Student,Fled/Apprehended,No,,charged him with an act of delinquency,"Guilty, served less than one year",No,
19780222MIEVL,15.0,Male,White,Student,Surrendered,No,,,,,
19780309CAMOS,14.0,Male,,No Relation,Surrendered,No,,"None, accidental",No,No,
19780329TNGAN,,Male,Black,Other Staff,Surrendered,No,,,,,
19780414MIFOD,16.0,Male,,Student,Unknown,No,,,,,
19780426TXPAD,56.0,Female,,Relative,Surrendered,No,,,,,
19780428ILRIN,,Male,,Student,Unknown,No,,,,,
19780518TXMUA,13.0,Male,White,Student,Fled/Apprehended,No,,Murder,,No,
19780519PADOP,,,,Unknown,Fled/Escaped,No,,,,,
19780607DEDOD,17.0,Male,,Student,Unknown,No,,2nd degree murder,"Manslaughter, carrying a concealed deadly weapon",Yes,
19780610MAWEW,17.0,Male,,Student,Attempted Suicide,No,Wounded,,,,
19781017ALLAL,13.0,Male,White,Student,Fled/Apprehended,No,,No criminal charges filed,,No,
19781017MOUNU,,Male,White,Former Student,Fled/Escaped,No,,,,,
19781129NYPAN,15.0,Male,,Student,Fled/Apprehended,No,,,,,
19781214CTWIN,17.0,Male,,No Relation,Apprehended/Killed by LE,No,,Murder,,Yes,
19790129CAGRS,16.0,Female,White,No Relation,Apprehended/Killed by LE,No,,,,,
19790314FLMCM,,Male,Black,Unknown,Fled/Apprehended,No,,,,Yes,
19790328CALOL,19.0,Male,,Unknown,Fled/Apprehended,No,,,,,
19790416WIWIM,28.0,Male,,Other Staff,Surrendered,No,,,,,
19790425PAMAH,,,,Unknown,Unknown,No,,,,,
19790426TXAZA,14.0,Male,,Student,Fled/Apprehended,No,,,,,
19790614OHNEN,13.0,Male,,Unknown,Fled/Apprehended,No,,,,,
19790926LACAN,13.0,Male,,Student,Surrendered,No,,Attempted murder,,,
19790926LACAN,15.0,Male,,Student,Surrendered,No,,Attempted murder,,,
19790928MACHC,,Male,White,Unknown,Fled/Escaped,No,,,,,
19790928MACHC,,Male,White,Unknown,Fled/Escaped,No,,,,,
19791023MOOFS,16.0,Male,,Student,Fled/Apprehended,No,,2 counts first degree assault,,No,
19791105INWAI,18.0,Male,,Student,Fled/Apprehended,No,,,,,
19791130TXUNL,14.0,Male,,Student,Surrendered,No,,,,,
19791203MDEAB,,Male,,Student,Fled/Escaped,No,,,,,
19791203MDEAB,,Male,,Student,Fled/Escaped,No,,,,,
19791203MDEAB,,Male,,Student,Fled/Escaped,No,,,,,
19791203MDEAB,,Male,,Student,Fled/Escaped,No,,,,,
19791221MOBLS,14.0,Male,,Student,Fled/Apprehended,No,,,,,
19800107ARSTS,16.0,Male,White,Student,Surrendered,No,,,,,
19800129VALAW,17.0,Male,,Student,Attempted Suicide,No,Wounded,,,,
19800201DCLAW,9.0,Male,,Student,Surrendered,No,,,,,
19800207TXVAL,9.0,Male,,Student,Surrendered,No,,,,,
19800211INARI,17.0,Male,,Student,Fled/Apprehended,No,,,,,
19800211INARI,19.0,Male,,Student,Fled/Apprehended,No,,,,,
19800215MSHUM,32.0,Male,,Intimate Relationship,Fled/Apprehended,No,,,,,
19800320TXJLD,30.0,Male,,Unknown,Fled/Apprehended,No,,,,,
19800331MDFRB,16.0,Male,Black,Former Student,Fled/Apprehended,No,,Assault with intent to murder,,No,
19800417VACAC,53.0,Male,,Intimate Relationship,Surrendered,No,,,,,
19800530NYCLB,15.0,Male,,Student,Fled/Apprehended,No,Wounded,,,,
19800902CAWHL,18.0,Male,White,No Relation,Fled/Apprehended,No,,,,,
19800908FLFOJ,,Male,,Student,Fled/Apprehended,No,,,,,
19800910DCSPW,18.0,Male,,Student,Surrendered,No,,,,,
19800911ALJOM,29.0,Female,,Teacher,Surrendered,No,,Murder,,,
19800926CTBRB,19.0,Male,,Former Student,Fled/Escaped,No,,,,,
19801013ALCET,17.0,Male,,Student,Fled/Apprehended,No,,,,,
19801031ALHUH,17.0,Male,,Student,Suicide,Yes,Suicide,,,,
19801117TXEAF,16.0,Male,,Student,Subdued by Students/Staff/Other,No,,,,,
19801212ALPAB,15.0,Male,,No Relation,Fled/Apprehended,No,,,,,
19801212OHLOL,14.0,Male,,Student,Surrendered,No,,,,,
19810121OHWIB,14.0,Male,White,Student,Fled/Apprehended,No,,,,,
19810122MDFRB,17.0,Male,,Student,Fled/Apprehended,No,,,,,
19810210ARLIL,16.0,Male,,Student,Fled/Apprehended,No,,,,,
19810210CAMAL,19.0,Male,,Unknown,Fled/Apprehended,No,,,,,
19810303INMAI,15.0,Male,,Student,Fled/Apprehended,No,,Aggrevated assault,,No,
19810328FLDIF,18.0,Male,,Student,Fled/Apprehended,No,,,,,
19810402OHALC,14.0,Male,,Student,Fled/Apprehended,No,,,,,
19810407MSPOP,,,,Unknown,Fled/Escaped,No,,,,,
19810515LANEN,42.0,Male,,Other Staff,Surrendered,No,,,,,
19810901PAWIP,,Male,,Unknown,Fled/Escaped,No,,,,,
19810904NMHOS,16.0,Male,,Student,Fled/Apprehended,No,,,,,
19810908FLSTW,12.0,Male,,Student,Fled/Apprehended,No,Wounded,"Shot self by accident, unknown charges",,,
19810913MDABA,,,,Police Officer/SRO,Law Enforcement,No,,,,,
19811013CTHAH,16.0,Male,,Student,Fled/Apprehended,No,,First degree assault,,,
19811209NYGEB,,Male,,Unknown,Fled/Escaped,No,,,,,
19811216TXUNH,17.0,Male,,Student,Fled/Apprehended,No,,,,,
19811223NYJAB,,Male,,Student,Fled/Escaped,No,,,,,
19820205TNHAM,,Male,,Unknown,Fled/Escaped,No,,,,,
19820208MADOD,19.0,Male,Black,Student,Fled/Apprehended,No,,,,,
19820209LAJON,16.0,Male,,Former Student,Fled/Apprehended,No,Wounded,,,,
19820209LAJON,15.0,Male,,Former Student,Fled/Apprehended,No,Wounded,,,,
19820315ORSPS,14.0,Male,,Student,Suicide,Yes,Suicide,,,,
19820317OHLOL,17.0,Male,,Student,Attempted Suicide,No,Wounded,,,,
19820319NVVAL,17.0,Male,Black,Student,Fled/Apprehended,No,,"Lizotte was charged with murdering Piggott, a psychology teacher at Valley High School for 17 years. The suspect, a senior at the high school, also was charged with two counts of attempted murder in the shooting of junior Martin Jameson, 16, and senior Jo",,,
19820407CODEL,14.0,Male,White,Student,Unknown,No,,,Was tried as an adult - pled to 12 years - served 6 in mental health treatment facility,Yes,
19820415MDFOB,,Male,,Unknown,Fled/Apprehended,No,,,,,
19820429GARUE,16.0,Male,White,Student,Surrendered,No,Wounded,,,,
19820430FLANA,19.0,Male,,Student,Fled/Apprehended,No,,,,,
19820527NVGAL,,Male,,Unknown,Fled/Escaped,No,,,,,
19820527NVGAL,,Male,,Unknown,Fled/Escaped,No,,,,,
19820527NVGAL,,Male,,Unknown,Fled/Escaped,No,,,,,
19820910VALAB,18.0,Male,,Former Student,Surrendered,No,,,,,
19820915ARSOP,12.0,Male,,Student,Attempted Suicide,No,Wounded,,,,
19821101NYELE,16.0,Male,,Student,Fled/Escaped,No,,,,,
19821108MICOD,15.0,Male,,Student,Surrendered,No,,,,,
19821112MSWIJ,20.0,Male,,Intimate Relationship,Suicide,Yes,Suicide,,,,
19821206ALHUH,17.0,Male,,Student,Suicide,Yes,Suicide,,,,
19821220MIFID,,Male,,Unknown,Fled/Escaped,No,,,,,
19830118TXJOH,21.0,Male,,Student,Suicide,Yes,Suicide,,,,
19830120MOPAB,14.0,Male,White,Student,Suicide,Yes,Suicide,,,,
19830128MDWIB,14.0,Male,,Student,Surrendered,No,Wounded,,,,
19830130TXWEC,,Male,,Unknown,Fled/Apprehended,No,,,,,
19830131FLDED,16.0,Female,,Student,Attempted Suicide,No,Wounded,No charges filed,,No,
19830201TNRIM,16.0,Male,,Student,Surrendered,No,Wounded,,,,
19830202NMALA,,Male,,Unknown,Fled/Escaped,No,,No suspect to charge,No Suspect,No Suspect,
19830331ILSAC,11.0,Male,,Student,Surrendered,No,,,,,
19830421MOBES,,Male,,Unknown,Fled/Escaped,No,,,,,
19830516NYBRN,24.0,Male,,Former Teacher,Suicide,Yes,Suicide,,,,
19830516TXLAD,41.0,Male,,No Relation,Fled/Apprehended,No,,Murder,Death penalty,,Served jail time for armed robbery
19830518FLNOM,22.0,Male,Black,No Relation,Fled/Apprehended,No,,,,,
19830523OHMAM,15.0,Male,,Student,Fled/Apprehended,No,,,,,
19830526PAGRJ,17.0,Male,,Student,Suicide,Yes,Suicide,,,,
19830912CAMAC,,Male,,Student,Fled/Apprehended,No,,,,,
19830912CAMAC,,Male,,Student,Fled/Apprehended,No,,,,,
19830912MIHED,16.0,Male,Black,Student,Fled/Escaped,No,,,,,
19830921MDWAB,18.0,Male,,Student,Surrendered,No,Wounded,,,,
19830930TXTET,20.0,Male,,Former Student,Fled/Apprehended,No,,,,,
19831007CACOL,,Male,,Gang Member,Fled/Escaped,No,,,,,
19831022MDCAB,18.0,Male,,Unknown,Fled/Apprehended,No,,Attempted murder,,,
19831108MIHIH,15.0,Male,,Student,Surrendered,No,,,,,
19831117ILJAC,14.0,Male,,Gang Member,Fled/Apprehended,No,,,,,
19831118MDHAB,17.0,Male,Black,Student,Fled/Apprehended,No,,,,,
19831202INCRC,17.0,Male,,Student,Fled/Apprehended,No,,,,,
19831216ILBOR,15.0,Male,,Student,Fled/Apprehended,No,,,,,
19840105MDLAB,,Male,,Unknown,Fled/Escaped,No,,,,,
19840206KYCEL,16.0,Male,,Student,Fled/Apprehended,No,,,,,
19840221TXSHH,16.0,Male,,Student,Surrendered,No,,,,,
19840224CA49L,28.0,Male,Black,Former Student,Suicide,Yes,Suicide,Killed,,,
19840405LACLC,17.0,Male,Black,Student,Unknown,No,,Attempted murder,,,
19840420MIPRD,13.0,,,Student,Unknown,No,,Reckless use of a firearm,,No,
19840426NCROW,11.0,Male,,Student,Attempted Suicide,No,Wounded,,,,
19840515MTCMG,18.0,Male,,Student,Attempted Suicide,No,Wounded,,,,
19840517IASOP,17.0,Male,,Student,Suicide,Yes,Suicide,,,,
19840517TXBOH,18.0,Male,,Student,Suicide,Yes,Suicide,,,,
19840518CANON,17.0,Male,,Student,Subdued by Students/Staff/Other,No,,,,,
19840522OHCLC,18.0,Male,,Student,Surrendered,No,,,,,
19840710MIMUD,,Male,,No Relation,Fled/Escaped,No,,,,,
19840831LABOS,,Male,,Gang Member,Fled/Escaped,No,,,,,
19840928TXMIH,,,,Unknown,Fled/Escaped,No,,,,,
19840928TXRIN,21.0,Male,White,Former Student,Surrendered,No,,,,,
19841021PAWYE,,Male,,Unknown,Unknown,No,,,,,
19841022MICED,16.0,Male,Black,Student,Fled/Apprehended,No,,,,,
19841024MISOD,17.0,Male,,Student,Surrendered,No,,,,,
19841024OHWEC,45.0,Female,White,Parent,Fled/Apprehended,No,,,Not guilty by insanity,,
19841030SCPEP,21.0,Male,,Intimate Relationship,Apprehended/Killed by LE,No,,,,,
19841031LAEAG,16.0,Male,White,Student,Unknown,No,,Second degree murder,Pleaded to manslaughter - 7 years reduced to 5 year probation,,
19841109CTWIN,16.0,Male,,Student,Fled/Apprehended,No,,,,,
19841126MDMIR,16.0,Male,,Unknown,Fled/Apprehended,No,,,,,
19841207MOEDS,17.0,Male,White,Student,Surrendered,No,,,,,
19850118TXARA,17.0,Male,White,Student,Suicide,Yes,Suicide,,,,
19850121KSGOG,14.0,Male,White,Student,Fled/Apprehended,No,,,,,
19850126MASTB,16.0,Male,,Student,Fled/Apprehended,No,,,,,
19850205CTAIH,18.0,Male,,Intimate Relationship,Fled/Escaped,No,,,,,
19850416TXMAA,31.0,Male,,Police Officer/SRO,Surrendered,No,,Aggravated assault,,,
19850516FLPAB,15.0,Female,,Student,Attempted Suicide,No,Wounded,,,,
19850724TXHIH,65.0,Female,,No Relation,Surrendered,No,,,Aggravated assault,,
19850904VAEAR,12.0,Male,,Student,Fled/Apprehended,No,,aggravated assault and using a gun in a felony.,,,
19850909TXWHH,18.0,Male,,No Relation,Fled/Apprehended,No,,,,,
19850920TXLAC,16.0,Male,,Student,Unknown,No,,,,,
19850925OHTRT,16.0,Male,,Student,Fled/Apprehended,No,,,,,
19851008MDLAB,18.0,Male,,Student,Fled/Apprehended,No,,,,,
19851008MDLAB,22.0,Male,,Relative,Fled/Apprehended,No,,"2nd degree murder, handgun charge",7 years,,
19851008MDLAB,19.0,Male,,Former Student,Fled/Apprehended,No,,,30 years,,
19851018MIMUD,,,,Unknown,Fled/Escaped,No,,,,,
19851022OHSOG,,,,Police Officer/SRO,Law Enforcement,No,,"Accident, no charges",No Charges,,
19851126WASPS,14.0,Female,,Student,Suicide,Yes,Suicide,,,,
19851127ALCHB,16.0,Male,,Student,Suicide,Yes,Suicide,,,,
19851203NHCOC,16.0,Male,White,Former Student,Apprehended/Killed by LE,Yes,Fatal,,,,
19851209PAARP,22.0,Male,,No Relation,Subdued by Students/Staff/Other,No,,,,,
19851210CTPOP,13.0,Male,,Student,Surrendered,No,,,,,
19860109NCNOD,17.0,Male,,Student,Fled/Apprehended,No,,1st Degree Murder,,,
19860117CAVAL,14.0,Male,,Student,Fled/Apprehended,No,,,,,
19860129MDLAB,14.0,Male,,Student,Fled/Apprehended,No,,,,,
19860224LABOS,13.0,Male,,Student,Suicide,Yes,Suicide,,,,
19860306ILTHD,14.0,Male,,Student,Surrendered,No,,"juvenile petition accusing him of attempted murder, aggravated battery and unlawful use of a weapon",,No,
19860423FLCHM,17.0,Male,,Student,Surrendered,No,,,,,
19860429MOSES,16.0,Male,,Student,Surrendered,No,,,,,
19860509NCPIF,17.0,Male,,Student,Apprehended/Killed by LE,No,,,90 days in jail,No,
19860515GACAA,,,,Student,Surrendered,No,,,,,
19860516WYCOC,43.0,Male,White,No Relation,Suicide,Yes,Suicide,,,,
19860516WYCOC,47.0,Female,White,No Relation,Apprehended/Killed by LE,No,Wounded,,,,
19860517TNMAN,16.0,Male,,Student,Fled/Apprehended,No,,,,,
19860912CAFAL,16.0,Male,,Student,Fled/Apprehended,No,,,,,
19860918CABEB,18.0,Male,,Student,Surrendered,No,,Investigation of murder,,,
19861003CAMOM,19.0,Male,,Nonstudent Using Athletic Facilities/Attending Game,Fled/Apprehended,No,,,,,
19861003CAMOM,18.0,Male,,Nonstudent Using Athletic Facilities/Attending Game,Fled/Apprehended,No,,,,,
19861003CAMOM,17.0,Male,,Nonstudent Using Athletic Facilities/Attending Game,Fled/Apprehended,No,,,,,
19861008TXSOD,19.0,Male,,Student,Fled/Apprehended,No,,Murder,,,
19861204MTFEL,14.0,Male,,Student,Fled/Apprehended,No,,,,,
19870114CALOL,18.0,Male,,Student,Attempted Suicide,No,Wounded,,,,
19870123MIRED,15.0,Male,,Student,Fled/Apprehended,No,,,,,
19870210ARDAD,17.0,Male,,Student,Suicide,Yes,Suicide,,,,
19870213AZORM,17.0,Male,White,Student,Fled/Apprehended,No,,,,,
19870224NYMON,,Male,,No Relation,Fled/Escaped,No,,,,,
19870224NYMON,,Male,,No Relation,Fled/Escaped,No,,,,,
