incidentid,race,injury,gender,schoolaffiliation,age
19710929VAPEP,White,Fatal,Male,Student,14.0
19710929VAPEP,Black,Wounded,Male,Student,14.0
19711028MDCIB,,Wounded,Male,Student,17.0
19711029MDFOB,,Wounded,Male,Student,
19711029MDFRB,,Wounded,Male,Student,
19711029MDFRB,,Wounded,Male,Student,
19711103NMCAC,,Wounded,Male,Police Officer/SRO,
19711108OKGRT,,Fatal,Male,Principal/Vice-Principal,49.0
19711124MDEDB,,Fatal,Male,Student,17.0
19711206CALOL,,Wounded,Male,Student,14.0
19711206CALOL,,Wounded,Male,Student,14.0
19711206CALOL,,Wounded,Female,Student,13.0
19711206CALOL,,Wounded,Female,Student,13.0
19711213MDCAB,,Wounded,Male,Student,16.0
19720105DCPAW,,Fatal,Female,Teacher,57.0
19720124OHSTS,White,Wounded,Male,Teacher,49.0
19720126MDGWB,,Wounded,Male,Student,14.0
19720126MDHAB,,Wounded,Male,Student,16.0
19720214ILCAC,,Fatal,Male,Student,18.0
19720215ILKEC,,,Male,No Relation,21.0
19720228CAMAL,,Wounded,Male,Student,14.0
19720313TXUNH,,Wounded,Male,Student,15.0
19720412LAEAG,,Wounded,Female,Teacher,27.0
19720504NVLIR,,Fatal,Male,Principal/Vice-Principal,33.0
19720505INDEI,,Fatal,Male,Student,16.0
19720914TXFRH,,Wounded,Male,Teacher,25.0
19720915MISAS,,Wounded,Male,Student,
19720915MISAS,,Wounded,Male,Student,
19720919TXCUH,,Wounded,Female,Teacher,28.0
19720921OHTHA,White,Wounded,Female,Teacher,27.0
19721111CAJEL,,Wounded,Female,Student,16.0
19721111CAJEL,,Wounded,Female,Student,14.0
19721111CAJEL,,Wounded,Male,Student,16.0
19721111CAJEL,,Wounded,Male,Student,16.0
19721111CAJEL,,Wounded,Male,Student,14.0
19721127MIPOP,,Wounded,Female,Student,15.0
19721127MIPOP,,Wounded,Female,Student,15.0
19721127MIPOP,,Wounded,Male,Student,16.0
19721127MIPOP,,Wounded,Male,Student,15.0
19721127MIPOP,,Wounded,Male,Student,15.0
19721129FLMIM,,Wounded,Male,Student,17.0
19730105NCSOS,White,Wounded,Female,Student,
19730105NCSOS,White,Wounded,Female,Student,
19730105NCSOS,White,Wounded,Male,Student,
19730105NCSOS,White,Wounded,Male,Student,
19730118CAJOL,,Wounded,Male,Other Staff,20.0
19730118CAJOL,,Wounded,Male,Other Staff,18.0
19730131NCCUB,,Wounded,Male,Student,
19730212ALBOM,,Wounded,Male,Student,15.0
19730226VAARR,,Fatal,Male,Student,16.0
19730226VAARR,,Wounded,Female,Student,14.0
19730405CALOL,,Wounded,Male,Student,16.0
19730405CALOL,,Wounded,Male,Student,17.0
19730501OHRAY,,Wounded,Female,Student,16.0
19730501OHRAY,,Wounded,Male,Student,16.0
19730501OHRAY,,Wounded,Male,Student,17.0
19730928CAWIL,,Wounded,Female,Student,16.0
19730928CAWIL,,Wounded,Male,Student,
19730928CAWIL,,Wounded,Male,Student,
19731002ILELA,,Fatal,Female,Student,16.0
19731019MOBES,,Fatal,Male,Student,17.0
19731023MOSUS,,Wounded,Male,Student,18.0
19731023OHBAB,,Wounded,Male,Teacher,27.0
19731024MNCEM,,Wounded,Male,Student,16.0
19731031MONOS,,Wounded,Male,No Relation,17.0
19731108ILWOC,,Fatal,Male,Student,18.0
19731109CALOL,,Wounded,Female,No Relation,16.0
19731109CALOL,,Fatal,Female,No Relation,1.0
19731206CAFRL,,Wounded,Male,Student,17.0
19731213OHHUC,,Wounded,Male,Student,17.0
19740117ILBAC,,Wounded,Male,Security Guard,47.0
19740117ILBAC,,Wounded,Male,Principal/Vice-Principal,40.0
19740117ILBAC,,Minor Injuries,Male,Teacher,29.0
19740117ILBAC,,Fatal,Male,Principal/Vice-Principal,52.0
19740122CALOL,,Fatal,Male,Student,18.0
19740207CAJAO,,Fatal,Male,No Relation,26.0
19740207CAJAO,,Fatal,Male,No Relation,29.0
19740322INBRB,,Fatal,Male,Teacher,48.0
19740402CTSTB,,Wounded,Male,Student,5.0
19740402CTSTB,,Wounded,Female,Teacher,
19740510TNCHR,,Fatal,Male,Student,20.0
19740519FLHIO,,,,,
19740923CAJED,,Wounded,Male,Student,16.0
19740925CASAL,,Wounded,Male,Student,17.0
19741007LADEH,White,Wounded,Male,Student,
19741007LADEH,White,Fatal,Male,Student,13.0
19741021MDDOB,,Wounded,Male,Security Guard,42.0
19741118SCCAC,,Wounded,Male,No Relation,18.0
19741121ARBOL,,Fatal,Male,Student,15.0
19741121ARBOL,,Wounded,Male,Student,15.0
19741125SCCAC,,,,,
19741218CAMAL,,Fatal,Male,Student,16.0
19741218CAMAL,,Wounded,Male,Student,17.0
19741230NYOLO,,Wounded,Male,Police Officer/SRO,37.0
19741230NYOLO,,Fatal,Female,No Relation,25.0
19741230NYOLO,,Minor Injuries,Male,Police Officer/SRO,28.0
19741230NYOLO,,Fatal,Male,Other Staff,63.0
19741230NYOLO,,Wounded,Male,Police Officer/SRO,23.0
19741230NYOLO,,Minor Injuries,Male,Police Officer/SRO,36.0
19741230NYOLO,,Wounded,Male,Police Officer/SRO,43.0
19741230NYOLO,,Wounded,Male,Police Officer/SRO,55.0
19741230NYOLO,,Minor Injuries,Male,Student,12.0
19741230NYOLO,,Fatal,Male,No Relation,58.0
19741230NYOLO,,Minor Injuries,Male,Police Officer/SRO,40.0
19741230NYOLO,,Wounded,Male,No Relation,
19741230NYOLO,,Wounded,Male,No Relation,
19741230NYOLO,,Wounded,Male,Police Officer/SRO,35.0
19750207NYBOM,,,Male,Student,16.0
19750224NJSTP,,Wounded,Female,Teacher,25.0
19750224NJSTP,,Fatal,Male,Teacher,38.0
19750312TXJOH,,Wounded,Male,Student,15.0
19750312TXJOH,,Wounded,Male,Student,17.0
19750318MOSUS,,Fatal,Male,Student,18.0
19750321OHPAD,,Wounded,Male,Student,31.0
19750321VAFAR,,Wounded,Female,Student,8.0
19750515MOROS,,Wounded,Male,Other Staff,34.0
19750527MIPID,,Fatal,Male,Student,13.0
19750709ILDEC,,Wounded,Female,Teacher,30.0
19750711MOCES,,Wounded,Female,Student,17.0
19750711MOCES,,Wounded,Female,Student,18.0
19750911OKGRO,White,Fatal,Male,Student,15.0
19750911OKGRO,White,Wounded,Male,Student,
19750911OKGRO,,Minor Injuries,Male,Student,
19750911OKGRO,,Minor Injuries,Male,Student,
19750911OKGRO,,Minor Injuries,Male,Student,
19750911OKGRO,,Wounded,,Police Officer/SRO,
19751001NMHEA,,Fatal,Male,Teacher,36.0
19751024GAMUA,,Wounded,Male,Principal/Vice-Principal,35.0
19751218CAORS,,Wounded,Male,Unknown,18.0
19760101AZCAP,,Wounded,Male,Security Guard,39.0
19760123OHCOC,,Wounded,Female,Other Staff,44.0
19760123OHCOC,,Fatal,Male,Teacher,56.0
19760206FLESP,White,Wounded,Male,Student,
19760206FLESP,White,Wounded,Male,Student,
19760206FLESP,White,Wounded,Male,Student,
19760206FLESP,White,Wounded,Male,Student,
19760212MIMUD,,Wounded,Male,Student,
19760212MIMUD,,Wounded,Male,Student,
19760212MIMUD,,Wounded,Male,Student,
19760212MIMUD,,Wounded,Male,Student,
19760212MIMUD,,Wounded,Male,Student,
19760412TXODF,,Fatal,Male,Student,15.0
19760412TXODF,,Wounded,Male,Student,15.0
19760513MOMAS,,Wounded,Male,Student,9.0
19760514FLPAW,,Wounded,Male,Former Student,18.0
19760602MDMTC,,,,,
19760920NCGUG,,Wounded,Female,Bus Driver,
19761110MIBUD,,Fatal,Female,Teacher,
19761210MOFRS,,Wounded,Male,Principal/Vice-Principal,39.0
19761210MOFRS,,Wounded,Female,Teacher,39.0
19770113ILOLB,,Wounded,Male,Student,15.0
19770209ILFEC,,Wounded,Male,Student,15.0
19770209ILFEC,,Wounded,Male,Student,
19770209ILFEC,,Wounded,Male,Student,
19770209ILFEC,,Fatal,Female,Student,
19770228MOROS,,Wounded,Male,Student,16.0
19770228MOROS,,Wounded,Male,Student,16.0
19770228TXHOA,,Wounded,Male,Student,15.0
19770308ILCOE,,Wounded,Female,Student,16.0
19770308ILCOE,,Wounded,Male,Principal/Vice-Principal,
19770321NYPAH,,,,,
19770407TXWHW,,Fatal,Male,Principal/Vice-Principal,31.0
19770418TNPIN,,Fatal,Male,Parent,46.0
19770517FLSTC,,,,,
19770622ILHOC,,Wounded,Male,Student,18.0
19770622ILHOC,,Wounded,Male,Student,18.0
19770711COSOC,,Wounded,Male,Student,15.0
19771129MOHAS,,,,,
19771129MOVAS,,Wounded,Male,Student,16.0
19771209CAPES,,,Female,Teacher,
19771212FLWEW,,Fatal,Male,Principal/Vice-Principal,
19771215MABLC,,Wounded,Male,Student,16.0
19771215MABLC,,Wounded,Male,Student,18.0
19780111KYCHH,,Wounded,Male,Student,
19780209WVHAS,,Fatal,Male,Student,
19780222MIEVL,,Fatal,Male,Student,15.0
19780222MIEVL,,Wounded,Male,Student,16.0
19780309CAMOS,,Wounded,Male,Student,9.0
19780329TNGAN,White,Wounded,Male,Parent,
19780414MIFOD,,Wounded,Male,Student,16.0
19780426TXPAD,,Fatal,Male,Other Staff,56.0
19780428ILRIN,,Wounded,Male,Student,15.0
19780428ILRIN,,Fatal,Male,Student,16.0
19780428ILRIN,,Fatal,Male,Student,16.0
19780428ILRIN,,Wounded,Male,Student,16.0
19780518TXMUA,,Fatal,Male,Teacher,
19780519PADOP,,Wounded,,Student,12.0
19780519PADOP,,Wounded,,Student,
19780519PADOP,,Wounded,,Student,
19780519PADOP,,Wounded,,Student,
19780519PADOP,,Wounded,,Student,
19780519PADOP,,Wounded,,Student,
19780519PADOP,,Wounded,,Student,
19780519PADOP,,Wounded,,Student,
19780607DEDOD,,Fatal,Male,Student,18.0
19780610MAWEW,,,Male,Student,17.0
19781017ALLAL,,Wounded,Male,Principal/Vice-Principal,
19781017MOUNU,,Wounded,Male,Student,
19781017MOUNU,,Wounded,Male,Student,
19781017MOUNU,,Wounded,Male,Student,
19781129NYPAN,,Wounded,Male,Student,16.0
19781214CTWIN,,Fatal,Male,Teacher,56.0
19790129CAGRS,,Fatal,Male,Other Staff,53.0
19790129CAGRS,,Fatal,Male,Other Staff,56.0
19790129CAGRS,,Wounded,,Student,
19790129CAGRS,,Wounded,Male,Police Officer/SRO,
19790129CAGRS,,Wounded,,Student,
19790129CAGRS,,Wounded,,Student,
19790129CAGRS,,Wounded,,Student,
19790129CAGRS,,Wounded,,Student,
19790129CAGRS,,Wounded,,Student,
19790129CAGRS,,Wounded,,Student,
19790129CAGRS,,Wounded,,Student,
19790314FLMCM,,Wounded,Male,Teacher,32.0
19790328CALOL,,Wounded,Female,Teacher,39.0
19790416WIWIM,,Wounded,Male,Former Student,17.0
19790425PAMAH,,Wounded,Male,Teacher,34.0
19790426TXAZA,,Fatal,Male,Student,13.0
19790614OHNEN,,Fatal,Male,,13.0
19790926LACAN,,Wounded,Male,Student,13.0
19790926LACAN,,Wounded,Male,Student,15.0
19790928MACHC,Black,Wounded,Male,Student,15.0
19791023MOOFS,,Wounded,Male,Student,17.0
19791023MOOFS,,Wounded,Male,Student,18.0
19791105INWAI,,Wounded,Male,Student,14.0
19791130TXUNL,,Wounded,Female,Student,11.0
19791203MDEAB,,Wounded,Male,Student,17.0
19791203MDEAB,,Wounded,Male,Student,
19791203MDEAB,,Wounded,Male,Student,
19791221MOBLS,,Wounded,Male,Student,16.0
19800107ARSTS,White,Fatal,Male,Student,19.0
19800129VALAW,,,Male,Student,17.0
19800201DCLAW,,Wounded,Male,Student,9.0
19800207TXVAL,,Wounded,Male,Student,10.0
19800211INARI,,Wounded,Male,Student,15.0
19800215MSHUM,Black,Fatal,Female,Teacher,31.0
19800320TXJLD,,Fatal,Female,Teacher,49.0
19800331MDFRB,Black,Wounded,Male,Student,16.0
19800417VACAC,,Fatal,Male,Principal/Vice-Principal,33.0
19800417VACAC,,Fatal,Female,Other Staff,32.0
19800530NYCLB,,,Male,Student,15.0
19800902CAWHL,,Wounded,Male,Student,
19800902CAWHL,,Wounded,Male,Student,
19800902CAWHL,,Wounded,Male,Student,
19800902CAWHL,,Wounded,Male,Student,
19800902CAWHL,,Wounded,Male,Student,
19800902CAWHL,,Wounded,Male,Student,
19800902CAWHL,,Wounded,Male,Student,
19800902CAWHL,,Wounded,Male,Student,
19800902CAWHL,,Wounded,Male,Student,
19800902CAWHL,,Wounded,Male,Student,
19800908FLFOJ,,Wounded,Male,Teacher,35.0
19800910DCSPW,,Fatal,Male,Student,16.0
19800911ALJOM,,Fatal,Female,Teacher,44.0
19800926CTBRB,,Wounded,Male,Student,17.0
19800926CTBRB,,Wounded,Male,Student,15.0
19801013ALCET,,Wounded,Male,Student,15.0
19801031ALHUH,,Wounded,Male,Student,17.0
19801117TXEAF,Black,Wounded,Male,Student,17.0
19801212ALPAB,,Wounded,Female,Student,14.0
19801212OHLOL,,Wounded,Male,Other Staff,48.0
19810121OHWIB,,Wounded,Male,Teacher,
19810122MDFRB,,,Male,Student,20.0
19810210ARLIL,,Wounded,Male,Student,16.0
19810210CAMAL,,Fatal,Male,Student,16.0
19810303INMAI,,Wounded,Male,Student,16.0
19810328FLDIF,,Fatal,Male,Student,19.0
19810402OHALC,,Wounded,Male,Student,14.0
19810407MSPOP,,Wounded,Female,Student,
19810515LANEN,,Wounded,Female,Teacher,
19810901PAWIP,,Wounded,Male,Gang Member,
19810901PAWIP,,Wounded,Male,Gang Member,
19810901PAWIP,,Wounded,Male,Gang Member,
19810904NMHOS,,Wounded,Male,Student,15.0
19810904NMHOS,,Wounded,Male,Student,17.0
19810908FLSTW,,,Male,Student,12.0
19810913MDABA,,Fatal,Male,Unknown,18.0
19811013CTHAH,,Wounded,Male,Student,
19811209NYGEB,,Fatal,Male,Student,18.0
19811216TXUNH,,Wounded,Male,Student,18.0
19811223NYJAB,,Fatal,Male,Student,16.0
19820205TNHAM,,Fatal,Male,Former Teacher,69.0
19820208MADOD,Black,Wounded,Female,Student,17.0
19820209LAJON,,Fatal,Male,Student,
19820315ORSPS,,,Male,Student,14.0
19820317OHLOL,,,Male,Student,17.0
19820319NVVAL,,Fatal,Male,Teacher,55.0
19820319NVVAL,,Wounded,Male,Student,17.0
19820319NVVAL,,Wounded,Male,Student,17.0
19820407CODEL,,Fatal,Male,Student,13.0
19820415MDFOB,,Wounded,Male,Teacher,
19820429GARUE,,,Unknown,Student,
19820430FLANA,,Wounded,Male,Student,
19820527NVGAL,,Wounded,Female,Student,13.0
19820527NVGAL,,Wounded,Female,Student,14.0
19820910VALAB,,,Female,Student,
19820915ARSOP,,,Male,Student,12.0
19821101NYELE,,Wounded,Male,Student,16.0
19821108MICOD,,Wounded,Male,Student,16.0
19821108MICOD,,Wounded,Male,Student,16.0
19821112MSWIJ,,Fatal,Female,Student,17.0
19821206ALHUH,,,Male,Student,17.0
19821220MIFID,Black,Wounded,Male,Student,15.0
19830118TXJOH,,Fatal,Female,Student,
19830120MOPAB,,Fatal,Male,Student,15.0
19830120MOPAB,,Wounded,Male,Student,15.0
19830128MDWIB,,,Male,Student,
19830130TXWEC,,Fatal,Male,,16.0
19830131FLDED,,,Female,Student,
19830201TNRIM,,,Male,Student,17.0
19830202NMALA,,Wounded,Female,Student,16.0
19830331ILSAC,,,Female,Teacher,24.0
19830421MOBES,,Wounded,Male,Student,
19830516NYBRN,,Wounded,Male,Teacher,47.0
19830516NYBRN,,Wounded,Male,Student,15.0
19830516TXLAD,,Fatal,Female,Other Staff,
19830518FLNOM,,Wounded,Male,Student,
19830523OHMAM,Black,Wounded,Male,Student,17.0
19830526PAGRJ,,,Male,Student,17.0
19830912CAMAC,,Wounded,Female,Student,
19830912CAMAC,,Wounded,Female,Student,
19830912CAMAC,,Wounded,Male,Student,
19830912CAMAC,,Wounded,Male,Student,
19830912CAMAC,,Wounded,Male,Student,
19830912MIHED,,Fatal,Male,Student,
19830921MDWAB,,,Male,Student,
19830930TXTET,,Wounded,Male,Student,17.0
19830930TXTET,,Wounded,Male,Student,17.0
19830930TXTET,,Wounded,Male,Student,15.0
19831007CACOL,,Wounded,Female,Student,16.0
19831022MDCAB,,Fatal,Male,Unknown,18.0
19831108MIHIH,Black,Fatal,Male,Student,17.0
19831117ILJAC,,Wounded,Male,Gang Member,17.0
19831117ILJAC,Hispanic,Fatal,Male,Gang Member,19.0
19831118MDHAB,,Fatal,Male,Student,14.0
19831202INCRC,,Wounded,Male,Student,
19831216ILBOR,,Wounded,Female,Teacher,38.0
19840105MDLAB,,Wounded,Male,Student,17.0
19840206KYCEL,,Wounded,Male,Student,
19840221TXSHH,,Wounded,Male,Teacher,30.0
19840224CA49L,,Wounded,Male,Other Staff,50.0
19840224CA49L,,Wounded,Female,Student,10.0
19840224CA49L,,Wounded,Female,Student,8.0
19840224CA49L,Hispanic,Fatal,Male,No Relation,24.0
19840224CA49L,,Minor Injuries,Female,Student,10.0
19840224CA49L,,Wounded,Female,Student,10.0
19840224CA49L,,Minor Injuries,Male,Student,11.0
19840224CA49L,,Minor Injuries,Male,Student,12.0
19840224CA49L,,Wounded,Female,Student,11.0
19840224CA49L,,Minor Injuries,Male,Student,9.0
19840224CA49L,,Wounded,Female,Student,10.0
19840224CA49L,,Fatal,Female,Student,10.0
19840224CA49L,,Wounded,Male,Student,9.0
19840224CA49L,,Wounded,,Student,11.0
19840405LACLC,,Wounded,Male,Student,
19840420MIPRD,,Fatal,Male,Student,
19840426NCROW,,,Male,Student,11.0
19840515MTCMG,,,Male,Student,18.0
19840517IASOP,,Fatal,Female,Student,
19840517TXBOH,,Wounded,Female,Student,17.0
19840518CANON,,Wounded,,Student,
19840518CANON,,Wounded,,Student,
19840518CANON,,Wounded,,Student,
19840518CANON,,Wounded,,Student,
19840518CANON,,Wounded,,Student,
19840518CANON,,Wounded,,Student,
19840518CANON,,Wounded,,Student,
19840518CANON,,Wounded,,Student,
19840518CANON,,Wounded,,Student,
19840518CANON,,Wounded,,Student,
19840518CANON,,Wounded,,Student,
19840518CANON,,Wounded,,Student,
19840522OHCLC,,Wounded,Male,Student,16.0
19840710MIMUD,,Wounded,Male,Student,
19840831LABOS,,Wounded,Male,Student,
19840928TXMIH,,Wounded,Male,Student,
19840928TXRIN,,Wounded,Male,Student,
19841021PAWYE,,Wounded,Female,Student,17.0
19841022MICED,,Wounded,Male,Student,16.0
19841022MICED,,Wounded,Female,Student,16.0
19841024MISOD,,Wounded,Male,Student,15.0
19841024OHWEC,,Fatal,Male,Bus Driver,54.0
19841030SCPEP,,Wounded,Male,Teacher,38.0
19841030SCPEP,,Wounded,Male,Teacher,
19841031LAEAG,Black,Fatal,Male,Student,16.0
19841109CTWIN,,Wounded,Male,Student,16.0
19841126MDMIR,,Wounded,Male,Student,16.0
19841207MOEDS,,,,,
19850118TXARA,White,,Male,Student,17.0
19850121KSGOG,,Wounded,Male,Student,14.0
19850121KSGOG,,Wounded,Female,Teacher,32.0
19850121KSGOG,,Wounded,Male,Teacher,39.0
19850121KSGOG,,Fatal,Male,Teacher,35.0
19850126MASTB,,Wounded,,Student,
19850126MASTB,,Wounded,,Student,
19850126MASTB,,Wounded,,Student,
19850126MASTB,,Wounded,,Student,
19850205CTAIH,,Wounded,Male,Student,17.0
19850416TXMAA,,,Male,Student,17.0
19850516FLPAB,,,Female,Student,15.0
19850724TXHIH,,Wounded,Male,Student,18.0
19850904VAEAR,,Wounded,Female,Student,14.0
19850909TXWHH,,Wounded,Male,Teacher,34.0
19850920TXLAC,,Wounded,Male,Principal/Vice-Principal,33.0
19850920TXLAC,,Wounded,Male,Student,15.0
19850925OHTRT,,Wounded,Male,Student,14.0
19850925OHTRT,,Wounded,Male,Student,13.0
19851008MDLAB,,Fatal,Male,Student,17.0
19851018MIMUD,,Wounded,Male,Student,17.0
19851018MIMUD,,Wounded,Female,Student,14.0
19851018MIMUD,,Wounded,Female,Student,13.0
19851018MIMUD,,Wounded,,Student,
19851018MIMUD,,Wounded,,Student,
19851018MIMUD,,Wounded,,Student,
19851018MIMUD,,Wounded,,Student,
19851022OHSOG,,Wounded,Female,Student,16.0
19851126WASPS,,Fatal,Male,Student,14.0
19851126WASPS,,Fatal,Male,Student,14.0
19851127ALCHB,,Wounded,Male,Student,
19851203NHCOC,,,Male,Student,
19851209PAARP,,,,,
19851210CTPOP,,Fatal,Male,Other Staff,36.0
19851210CTPOP,,Wounded,Male,Principal/Vice-Principal,
19851210CTPOP,,Wounded,Female,Other Staff,53.0
19860109NCNOD,,Fatal,Female,Student,17.0
19860117CAVAL,,Fatal,Male,Student,16.0
19860129MDLAB,,Fatal,Male,Student,16.0
19860224LABOS,,,Male,Student,13.0
19860306ILTHD,,Wounded,Female,Teacher,
19860423FLCHM,,Wounded,Male,Student,15.0
19860429MOSES,,Fatal,Female,Student,
19860509NCPIF,,Wounded,Male,Student,
19860509NCPIF,,Wounded,Male,Student,
19860509NCPIF,,Wounded,Male,Student,
19860515GACAA,,Wounded,Female,Student,6.0
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860516WYCOC,,Wounded,,Student,
19860517TNMAN,,Wounded,Male,Teacher,33.0
19860912CAFAL,,Fatal,Male,Former Student,18.0
19860918CABEB,,Fatal,Female,Student,15.0
19861003CAMOM,,Wounded,Male,Student,14.0
19861003CAMOM,,Wounded,Female,Student,14.0
19861008TXSOD,,Fatal,Male,Student,16.0
19861204MTFEL,,Fatal,Female,Teacher,40.0
19861204MTFEL,,Wounded,Male,Teacher,36.0
19861204MTFEL,,Minor Injuries,Female,Student,
19861204MTFEL,,Minor Injuries,Female,Student,
19870114CALOL,,,Male,Student,18.0
19870123MIRED,,Wounded,Male,Student,15.0
19870210ARDAD,,,Male,Student,17.0
19870213AZORM,,Wounded,Male,Teacher,43.0
19870213AZORM,,Wounded,Male,Teacher,40.0
19870213AZORM,,Fatal,Male,Student,17.0
19870213AZORM,,Minor Injuries,Female,Teacher,25.0
19870224NYMON,,Wounded,Female,Parent,38.0
19870302MODED,,Fatal,Male,Student,13.0
19870306TXRIE,,Wounded,Female,Student,15.0
19870330CAPAS,,,Female,No Relation,44.0
19870416MIMUD,,Fatal,Male,Student,17.0
19870416MIMUD,,Wounded,Male,Student,17.0
19870416MIMUD,,Minor Injuries,Female,Student,18.0
19870430ORGRP,,Fatal,Male,Student,17.0
19870503INPII,,Wounded,Male,Teacher,26.0
19870506ARMAJ,,,Male,Student,15.0
19870506FLLET,,,Male,Student,15.0
19870513ILOAO,,,Male,Student,17.0
19870928ILILL,,Wounded,Male,Teacher,44.0
19871014ILDUC,Black,Fatal,Male,Student,15.0
